season_week,season,week,n,k,edr,rank_elim,pct_elim,fanfavor_elim_rank,fanfavor_elim_percentage,rank_hits,pct_hits
20_6,20,6,8,1,1,['Patti LaBelle_Artem Chigvintsev_20'],['Robert Herjavec_Kym Johnson_20'],-0.14285714285714285,0.2857142857142857,1,0
20_7,20,7,7,1,0,['Robert Herjavec_Kym Johnson_20'],['Robert Herjavec_Kym Johnson_20'],0.0,0.0,0,0
20_8,20,8,6,2,0,"['Chris Soules_Witney Carson_20', 'Robert Herjavec_Kym Johnson_20']","['Chris Soules_Witney Carson_20', 'Robert Herjavec_Kym Johnson_20']",-0.1,-0.1,2,2
20_9,20,9,4,1,0,['Nastia Liukin_Derek Hough_20'],['Nastia Liukin_Derek Hough_20'],-1.0,-1.0,1,1
21_11,21,11,4,1,1,['Alek Skarlatos_Lindsay Arnold_21'],['Carlos PenaVega_Witney Carson_21'],0.3333333333333333,-0.6666666666666666,0,1
21_2,21,2,13,2,0,"['Chaka Khan_Keo Motsepe_21', 'Victor Espinoza_Karina Smirnoff_21']","['Chaka Khan_Keo Motsepe_21', 'Victor Espinoza_Karina Smirnoff_21']",-0.041666666666666664,-0.041666666666666664,2,2
21_4,21,4,10,1,0,['Gary Busey_Anna Trebunskaya_21'],['Gary Busey_Anna Trebunskaya_21'],0.1111111111111111,0.1111111111111111,1,1
21_6,21,6,9,1,0,['Paula Deen_Louis van Amstel_21'],['Paula Deen_Louis van Amstel_21'],0.0,0.0,1,1
21_7,21,7,8,1,0,['Alexa PenaVega_Mark Ballas_21'],['Alexa PenaVega_Mark Ballas_21'],-0.2857142857142857,-0.2857142857142857,0,0
21_8,21,8,7,1,0,['Andy Grammer_Allison Holker_21'],['Andy Grammer_Allison Holker_21'],0.16666666666666666,0.16666666666666666,1,1
21_9,21,9,6,1,0,['Tamar Braxton_Valentin Chmerkovskiy_21'],['Tamar Braxton_Valentin Chmerkovskiy_21'],0.4,0.4,0,0
22_2,22,2,12,1,0,['Geraldo Rivera_Edyta Sliwinska_22'],['Geraldo Rivera_Edyta Sliwinska_22'],0.0,0.0,1,1
22_3,22,3,11,1,0,['Mischa Barton_Artem Chigvintsev_22'],['Mischa Barton_Artem Chigvintsev_22'],0.0,0.0,1,1
22_4,22,4,10,1,0,['Doug Flutie_Karina Smirnoff_22'],['Doug Flutie_Karina Smirnoff_22'],0.1111111111111111,0.1111111111111111,0,0
22_6,22,6,9,1,0,['Doug Flutie_Karina Smirnoff_22'],['Doug Flutie_Karina Smirnoff_22'],0.0,0.0,1,1
22_7,22,7,8,2,0,"['Jodie Sweetin_Keo Motsepe_22', 'Kim Fields_Sasha Farber_22']","['Jodie Sweetin_Keo Motsepe_22', 'Kim Fields_Sasha Farber_22']",0.0,0.0,1,1
22_8,22,8,6,1,1,['Antonio Brown_Sharna Burgess_22'],['Jodie Sweetin_Keo Motsepe_22'],0.0,-0.8,0,1
22_9,22,9,5,2,1,"['Antonio Brown_Sharna Burgess_22', 'Ginger Zee_Valentin Chmerkovskiy_22']","['Antonio Brown_Sharna Burgess_22', 'Wanya Morris_Lindsay Arnold_22']",0.375,-0.375,1,2
23_10,23,10,5,1,1,['James Hinchcliffe_Sharna Burgess_23'],['Terra Jole_Sasha Farber_23'],-0.25,-0.75,0,1
