contestant_id,mean_CV_P,mean_CI_width_P,mean_elim_prob,T_i
Lindsey Stirling_Mark Ballas_25,1.187823,0.2009773939094884,0.1,10
Lisa Rinna_Louis van Amstel_2,1.091151,0.08152433861739283,0.08571429,7
Lisa Vanderpump_Gleb Savchenko_16,0.8528156,0.011441035372445185,0.2375,4
Lolo Jones_Keo Motsepe_19,0.8764547,0.047464056742319356,0.0,1
Louie Vito_Chelsie Hightower_9,1.1946257,0.49457762325961685,0.09722223,6
Macy Gray_Jonathan Roberts_9,1.1668099,0.0275797680034884,0.73333335,1
Margaret Cho_Louis van Amstel_11,1.0700608,0.01031458798897802,0.7055556,3
Maria Menounos_Derek Hough_14,1.5359921,0.2697708386200246,0.10925926,9
Marie Osmond_Jonathan Roberts_5,1.9462788,0.07342397001280913,0.41833335,10
Marilu Henner_Derek Hough_23,2.269835,0.0774012049918686,0.4074074,9
Mario Lopez_Karina Smirnoff_3,0.42457062,0.54175671888981,0.0,10
Mario_Karina Smirnoff_6,0.66153145,0.4444774204632267,0.0020833334,8
Marissa Jaret Winokur_Tony Dovolani_6,0.75356317,0.04458299617076084,0.33333334,9
Mark Cuban_Kym Johnson_5,0.90714675,0.08827418944536472,0.093333334,5
Mark Dacascos_Lacey Schwimmer_9,1.0810883,0.24386530331893083,0.05952381,7
Marla Maples_Tony Dovolani_22,0.9775673,0.04417673361022025,0.10416667,4
Marlee Matlin_Fabian Sanchez_6,0.9078694,0.050253667420717345,0.175,6
Martin Kove_Britt Stewart_30,1.29498,0.02690654544803692,0.5,2
Martina Navratilova_Tony Dovolani_14,1.0999886,0.02165364203410717,0.5,2
Mary Lou Retton_Sasha Farber_27,1.2946142,0.05302189871314717,0.07777778,6
Mary Wilson_Brandon Armstrong_28,1.6202396,0.13125042404499251,0.025,2
Master P_Ashly DelGrosso_2,0.9244983,0.7644606623929575,0.6041667,4
Matt James_Lindsay Arnold_30,0.8737479,0.24308595381407933,0.24166666,4
Matt Walsh_Koko Iwasaki_32,0.85786885,0.02868013100669486,1.0,1
Maureen McCormick_Artem Chigvintsev_23,1.178486,0.023169012819718244,0.050000004,7
Maurice Greene_Cheryl Burke_7,0.8898841,0.22439481492110638,0.016666668,8
Mauricio Umansky_Emma Slater_32,2.1147377,0.4170149162060018,0.15555556,6
Mel B_Maksim Chmerkoskiy_5,1.296644,0.20441477734391805,0.0033333334,10
Melanie C_Gleb Savchenko_30,2.828915,0.14512552775536272,0.0,5
Melissa Gilbert_Maksim Chmerkoskiy_14,0.94618756,0.015425908959878139,0.34791666,8
Melissa Joan Hart_Mark Ballas_9,0.92874175,0.03737357288167307,0.16666667,6
Melissa Rycroft_Tony Dovolani_15,1.211177,0.45005827985873104,0.038333334,10
Melissa Rycroft_Tony Dovolani_8,1.3420609,0.14762759400476744,0.17727274,11
Melora Hardin_Artem Chigvintsev_30,1.9148432,0.06897369269229074,0.11111111,9
Meryl Davis_Maksim Chmerkoskiy_18,1.0337465,0.5310380482603795,0.008333334,10
Metta World Peace (Ron)_Peta Murgatroyd_13,0.8247029,0.1658986514550633,0.033333335,1
Michael Bolton_Chelsie Hightower_11,1.4479656,0.12507098003407002,0.325,2
Michael Irvin_Anna Demidova_9,1.3169914,0.20012382449593646,0.34523806,7
Michael Sam_Peta Murgatroyd_20,0.86965775,0.24305729729476297,0.0,4
Michael Waltrip_Emma Slater_19,0.84088814,0.12759193477158987,0.14583334,8
"Mike ""The Miz"" Mizanin_Witney Carson_30",1.157143,0.22768134080490968,0.23809525,7
Mike Catherwood_Lacey Schwimmer_12,0.81987035,0.14333328318607524,0.025,2
Milo Manheim_Witney Carson_27,0.35115132,0.6166156838958462,0.0,9
Mira Sorvino_Gleb Savchenko_32,1.6505054,0.04934269011886496,0.023333333,5
Mirai Nagasu_Alan Bersten_26,1.1988853,0.31093947241121583,0.25555554,3
Mischa Barton_Artem Chigvintsev_22,0.9448931,0.02404430835085804,0.39444447,3
Misty May-Treanor_Maksim Chmerkoskiy_7,0.67969507,0.03400179050222504,0.0,2
Monica Aldama_Valentin Chmerkovskiy_29,1.0983372,0.06160990973460553,0.14285715,7
Monica Seles_Jonathan Roberts_6,0.8809816,0.014298208960099146,0.5,2
Monique Coleman_Louis van Amstel_3,0.85902137,0.10088212049577121,0.14791667,8
Mr. T_Kym Herjavec_24,0.92214394,0.0486989245397126,0.22083333,4
Mya_Dmitry Chaplin_9,1.1064647,0.6384530200922744,0.030000001,10
Nancy Grace_Tristan MacManus_13,1.6608026,0.09956221880117934,0.575,8
Nancy Kerrigan_Artem Chigvintsev_24,1.1692911,0.06766788712588354,0.24285714,7
Nancy McKeon_Valentin Chmerkovskiy_27,0.90595484,0.016744128129357706,0.12222222,3
Nastia Liukin_Derek Hough_20,1.3093204,0.3156497555940101,0.1037037,9
Natalie Coughlin_Alec Mazo_9,1.1609567,0.04156518951058387,0.07000001,5
NeNe Leakes_Tony Dovolani_18,1.0769262,0.04739535121448819,0.18809523,7
Nelly_Daniella Karagach_29,0.61037374,0.8604924847338804,0.13787879,11
Nev Schulman_Jenna Johnson_29,1.0765129,0.4835396837887607,0.0,11
Nick Carter_Sharna Burgess_21,0.6702247,0.5251037204214795,0.016666668,11
Nick Lachey_Peta Murgatroyd_25,0.9224059,0.14006669009880468,0.13611111,6
Nick Viall_Peta Murgatroyd_24,0.74478906,0.21421762813448103,0.059523813,7
"Nicole ""Snooki"" Polizzi_Sasha Farber_17",0.8071747,0.059070787222299255,0.03809524,7
Nicole Scherzinger_Derek Hough_10,1.1121902,0.6500296699628233,0.0016666667,10
Niecy Nash_Louis van Amstel_10,0.833383,0.036583429510983465,0.17708333,8
Nikki Bella_Artem Chigvintsev_25,0.69390017,0.028216838924605064,0.21666667,7
Nikki Glaser_Gleb Savchenko_27,0.91148937,0.014395219764264767,0.5,1
Noah Galloway_Sharna Burgess_20,0.6118251,0.4654427235684125,0.015000001,10
Normani_Valentin Chmerkovskiy_24,0.99114656,0.5291014672472374,0.021666666,10
Nyle DiMarco_Peta Murgatroyd_22,0.49228477,0.6622953675687312,0.006666667,10
Olivia Jade_Valentin Chmerkovskiy_30,1.8407446,0.11836761829181335,0.09375,8
Paige VanZant_Mark Ballas_22,0.98484975,0.39510535892681214,0.051666666,10
Pamela Anderson_Damian Whitewood_10,1.2833031,0.13032204077296355,0.05952381,7
Pamela Anderson_Tristan MacManus_15,0.92216957,0.008915535329379052,1.0,1
Patti LaBelle_Artem Chigvintsev_20,2.2246416,0.03887297381896433,0.3861111,6
Paula Deen_Louis van Amstel_21,1.3414007,0.011045669826012268,0.25277779,6
Paulina Porizkova_Alec Mazo_4,1.2529304,0.026216019374987794,0.075,2
